Sequence	ABBA_1	ABBA_2	CDII_1	CMI_1	D-Box_1	GLEBS_1	KARD_1	KEN_1	KEN_2	kinase_1	TPR_1	ABBA_3	ABBA_4	ABBA_5	D-Box_2	ABBA_6	ABBA_7	ABBA_8	MadaM_1	KARD_2	GLEBS_2	CMI_2	CMI_3	D-Box_3	ABBA_9	PLKBD_1	ABBA_10	CMI_4	ABBA_11	D-Box_4	D-Box_5	D-Box_6	D-Box_7	D-Box_8	D-Box_9	D-Box_10
MBRE_MADBUB	250-261	313-324	776-788	535-561	206-218	372-407	459-480	6-31	270-302	819-1082	46-187	484-495	580-591	634-645	620-632	0	0	0	0	725-746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSAL_MADBUB	250-261	315-326	944-977	0	203-215	363-396	693-714	7-32	271-303	997-1259	40-182	543-554	559-570	586-597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MELO_MADBUB	316-327	386-397	0	615-641	262-274	481-518	0	38-63	347-378	0	80-222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NVEC_MADBUB	254-265	319-330	981-1015	699-725	208-220	376-409	930-951	12-36	274-306	1036-1297	53-190	590-601	790-801	841-852	827-839	0	0	0	0	0	427-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPSE_MADBUB	341-352	424-435	0	663-689	290-302	521-556	0	16-41	368-390	995-1270	126-261	750-761	789-800	854-863	0	876-887	0	0	460-479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EHUX_MADBUB	270-281	339-350	0	623-649	217-229	443-483	0	13-38	294-325	0	54-194	603-614	830-841	853-864	0	876-887	901-912	0	0	0	0	909-935	963-984	0	0	0	0	0	0	0	0	0	0	0	0	0
TTRA_MADBUB	298-309	368-379	0	628-654	260-272	469-502	0	36-61	317-349	941-1212	86-226	677-686	704-715	730-739	0	754-763	842-851	854-865	410-429	0	0	789-815	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBRA_MADBUB	237-248	300-311	0	502-528	197-209	362-399	0	5-30	260-287	629-867	46-186	548-559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NVIT_MADBUB	253-264	308-319	1254-1293	553-579	204-216	358-391	1086-1107	7-30	272-297	1299-1540	48-186	598-609	627-638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OBIM_MADBUB	243-254	302-313	758-795	492-518	200-212	353-386	713-734	2-26	262-294	810-1076	41-178	637-648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MVER_MADBUB	288-299	363-374	0	573-599	238-250	461-494	0	22-47	323-355	0	64-206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDEF_MADBUB	240-251	297-308	630-668	396-422	212-224	321-368	532-553	14-39	259-291	702-982	57-196	471-482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSPE_MADBUB	268-279	331-342	956-990	569-595	0	405-439	0	6-29	286-318	1018-1306	38-186	629-640	740-751	779-790	0	902-913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGAD_MADBUB	234-245	314-325	0	0	0	0	0	4-29	263-295	703-1005	49-194	490-501	0	0	0	0	0	0	350-369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UMAY_MADBUB	315-326	380-391	1097-1135	661-687	269-281	536-574	913-934	52-77	338-370	1183-1452	94-237	0	0	0	0	0	0	0	435-454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCAR_MADBUB	254-265	340-351	0	705-729	197-209	499-525	0	3-26	296-328	0	39-177	895-906	1042-1053	0	0	0	0	0	0	0	0	788-814	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDIS_MADBUB	269-276	349-360	906-944	552-578	221-233	439-474	0	5-30	311-343	1006-1294	46-185	715-726	776-785	826-837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TADH_MADBUB	273-284	340-351	723-763	471-490	229-241	398-433	657-678	14-39	293-325	777-991	72-213	510-521	639-650	0	549-561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTRI_MADBUB	273-284	349-360	0	561-587	214-226	436-471	0	7-30	301-333	957-1255	61-193	719-730	736-747	781-792	0	804-815	0	0	392-411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLEI_MADBUB	221-232	276-287	930-960	0	0	330-365	798-819	3-26	236-269	980-1244	41-159	546-557	595-606	763-774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WMEL_MADBUB	250-261	304-315	778-814	450-476	223-235	392-428	607-628	27-52	265-297	857-1153	69-211	504-515	0	0	0	0	0	0	333-352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNEV_MADBUB	269-280	315-326	1166-1200	576-602	204-216	363-395	932-953	6-31	280-307	1219-1470	49-189	416-427	641-652	671-682	231-243	0	0	0	0	0	428-461	0	0	787-799	0	0	0	0	0	0	0	0	0	0	0	0
YLIP_MADBUB	235-246	290-301	624-660	368-394	203-215	308-344	482-503	8-33	251-282	682-942	45-187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SARC_MADBUB	139-150	201-212	0	801-827	97-109	262-300	0	160-188	0	0	6-77	602-613	879-890	923-930	0	0	0	0	236-255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIRR_MADBUB	289-300	353-364	680-716	518-544	240-252	451-492	606-627	32-57	313-345	755-1046	74-215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIN_MADBUB	212-223	0	0	0	0	0	0	18-33	0	0	42-175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKOW_MADBUB	208-219	272-283	1397-1430	919-945	161-173	353-386	1181-1202	228-260	0	1449-1720	2-142	1003-1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSOL_MADBUB	251-258	308-319	860-893	508-534	217-229	0	812-833	11-36	267-298	921-1217	53-195	665-676	680-691	706-715	0	736-747	752-763	0	342-361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPUR_MADBUB	259-270	325-336	1182-1215	718-744	214-226	376-409	1031-1052	11-36	278-310	1236-1507	54-192	347-358	583-594	830-841	876-888	849-860	1087-1098	1110-1121	0	0	0	0	0	0	1148-1159	0	0	0	0	0	0	0	0	0	0	0
SMAN_MADBUB	230-241	297-308	0	0	0	0	0	36-61	255-283	0	78-214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPUN_MADBUB	229-240	295-306	734-772	429-455	202-214	364-403	610-631	13-38	255-287	788-1006	49-182	486-497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SROS_MADBUB	268-279	333-344	822-859	545-571	216-228	393-427	781-802	14-39	293-320	880-1155	53-193	589-600	0	0	642-654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM_MADBUB	251-262	310-321	879-912	0	210-222	357-390	786-807	6-31	271-301	932-1197	45-184	590-601	664-675	687-698	650-662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BDEN_MADBUB	262-273	332-343	863-879	521-547	226-238	419-456	718-739	9-34	290-322	923-1265	65-205	580-591	783-794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHOM_MADBUB	237-248	271-282	0	0	0	306-338	0	14-39	291-307	0	48-187	380-391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFLO_MADBUB	313-324	379-390	988-1021	666-692	248-260	419-452	920-941	6-31	332-364	1040-1311	89-229	757-768	0	0	797-809	0	0	0	0	0	0	0	0	0	0	837-859	0	0	0	0	0	0	0	0	0	0
CGIG_MADBUB	248-259	309-320	894-918	587-613	202-214	363-396	794-815	6-31	267-299	946-1194	40-185	640-651	656-667	0	0	0	0	0	0	0	0	0	0	0	0	730-752	0	0	0	0	0	0	0	0	0	0
ACAS_MADBUB	290-301	375-386	870-909	599-625	234-246	427-462	0	20-45	335-367	937-1204	64-196	544-555	763-774	791-802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMER_MADBUB	411-422	499-510	0	665-691	340-352	0	1320-1341	5-28	444-476	1582-1825	135-288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CINT_MADBUB	271-282	331-342	865-881	541-567	226-238	391-424	746-767	4-30	289-319	910-1155	66-148	471-482	581-592	597-608	622-634	656-667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMOR_MADBUB	255-266	316-327	869-902	528-554	203-215	358-394	699-720	3-26	274-307	921-1083	44-183	565-576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPRA_MADBUB	271-282	340-351	788-823	546-572	0	410-439	0	8-31	297-329	858-1138	53-190	688-699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALIM_MADBUB	280-291	370-381	0	503-529	0	0	0	11-36	317-349	0	54-195	608-617	632-641	652-661	0	672-682	747-758	770-781	407-426	0	0	0	0	0	797-807	0	823-833	0	0	0	0	0	0	0	0	0
ACYR_MADBUB	262-273	318-329	817-853	450-476	223-235	366-399	775-796	21-47	277-309	870-1120	65-204	354-365	507-518	536-547	0	569-580	673-684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGOS_MADBUB	239-250	301-312	592-631	438-464	0	328-365	532-553	7-32	258-290	659-925	45-191	416-427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKER_MADBUB	263-274	331-339	0	591-617	218-230	0	0	4-29	289-321	0	48-189	422-433	464-471	492-503	0	520-531	0	0	372-391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSUL_MADBUB	242-253	302-313	0	431-457	215-227	0	0	5-30	260-290	0	49-190	492-502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTHE_MADBUB	261-272	333-344	0	652-675	0	431-465	988-1009	4-29	280-312	1124-1405	50-190	845-852	863-870	881-888	0	899-906	908-919	931-942	0	0	0	703-726	756-779	0	0	0	0	785-811	0	0	0	0	0	0	0	0
KLAC_MADBUB	205-216	250-261	596-635	435-461	0	341-378	533-554	7-32	270-302	663-928	45-190	314-325	412-421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMPREY_MADBUB	274-285	342-353	729-762	0	227-239	398-431	678-699	23-48	294-324	782-1038	66-205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LANA_MADBUB	258-269	326-337	967-1000	600-626	212-224	379-412	878-899	12-37	278-311	1020-1291	54-194	662-673	679-690	794-805	720-732	833-844	0	0	0	0	0	0	0	0	0	776-800	0	0	0	0	0	0	0	0	0	0
CTEL_MADBUB	261-272	329-340	847-880	534-560	214-226	391-424	763-784	12-37	281-313	899-1180	53-192	588-599	632-643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KFLA_MADBUB	253-261	321-332	895-934	546-572	213-225	410-444	0	2-26	281-313	959-1241	49-188	606-617	751-762	0	0	0	0	0	362-381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSUB_MADBUB	271-282	339-349	0	668-694	219-231	439-473	0	3-26	298-331	0	43-196	723-734	876-887	897-908	0	943-950	960-971	992-1003	0	0	0	738-764	817-839	0	1020-1031	0	1073-1084	0	0	0	0	0	0	0	0	0
CREI_MADBUB	256-267	343-354	0	783-809	197-209	536-570	0	3-26	288-320	0	39-177	733-744	976-987	1146-1156	0	0	0	0	0	0	0	885-909	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNEO_MADBUB	258-269	317-328	871-908	472-498	223-235	410-446	737-758	13-38	275-307	949-1239	54-203	582-593	611-622	0	0	0	0	0	346-365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPAR_MADBUB	269-280	325-336	0	0	232-244	345-379	0	10-33	289-317	0	68-210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGLA_MADBUB	254-265	311-322	847-864	478-504	226-238	412-448	733-754	25-50	271-303	917-1201	67-210	587-598	604-615	625-636	0	644-652	664-675	687-696	342-361	0	0	0	0	0	702-713	0	0	0	0	0	0	0	0	0	0	0
DHAN_MADBUB	234-245	296-307	545-582	429-455	206-218	337-375	507-528	8-33	257-289	617-889	53-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMAG_MADBUB	249-260	309-320	906-934	568-594	206-218	359-392	853-874	5-30	268-300	956-1214	48-188	606-617	632-643	0	677-689	0	0	0	0	0	454-479	0	0	716-728	0	0	0	0	0	0	0	0	0	0	0	0
COWC_MADBUB	259-270	0	729-768	0	0	322-355	0	219-250	0	800-1079	45-187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCOR_MADBUB	493-504	674-683	0	0	0	282-307	0	7-33	0	0	53-188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BNAT_MADBUB_B	1-10	185-196	302-338	137-163	0	54-87	255-276	0	0	363-625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQUE_MADBUB	223-234	258-269	889-915	0	244-255	10-49	817-838	0	0	940-1196	0	294-305	330-341	366-377	279-291	402-413	438-449	474-485	0	0	0	0	0	315-327	510-520	0	545-556	0	580-587	351-363	387-399	423-435	459-471	495-506	530-542	566-578
CVAR_MADBUB	631-640	669-680	1099-1166	422-444	0	209-236	0	8-33	0	1196-1455	46-164	765-772	785-795	1010-1021	0	0	0	0	0	0	0	462-486	519-543	0	0	0	0	561-587	0	0	0	0	0	0	0	0
EINT_MADBUB	0	0	0	0	0	137-170	0	0	0	0	18-105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BNAT_MADBUB_A	0	0	0	0	0	0	0	25-50	0	0	68-94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
