Sequence	ABBA_1	ABBA_2	CDII_1	KEN_1	KEN_2	TPR_1	kinase-like_1	GLEBS_1	KARD_1	Dbox_1	Dbox_2	ABBA_other	MadaM_1	CMI_1	KEN_other	GLEBS_2
ENSPTRP00000077805	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSCATP00000009004	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0
ENSRROP00000025592	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSCPOP00000008085	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSCLAP00000011986	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSCAFP00000013122	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSMPUP00000008317	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSSARP00000009347	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0
ENSMICP00000006968	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
ENSPCAP00000011713	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0
ENSSBOP00000009355	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSCJAP00000038871	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSCANP00000008967	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSFCAP00000012115	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
ENSSSCP00000022619	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSPTIP00000004315	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSDNOP00000000770	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSACIP00000019215	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSACLP00000005027	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSMZEP00005036227	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSNBRP00000001079	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSPNYP00000001404	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSHBUP00000014138	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSONIP00000015340	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSDARP00000144935	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSTRUP00000049557	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSPFOP00000029534	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0
ENSPREP00000032059	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSPLAP00000008434	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSPMEP00000004456	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSXCOP00000014653	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSXMAP00000006577	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSSPAP00000027150	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSAPEP00000000441	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSKMAP00000020521	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSOMEP00000016156	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSLBEP00000034348	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSAOCP00000028529	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSAPOP00000009215	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSIPUP00000029502	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSCVAP00000027143	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSHCOP00000026701	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSORLP00015016772	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSORLP00000036753	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSORLP00020002621	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSPMGP00000013820	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSPNAP00000032818	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSMALP00000008423	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSMAMP00000011851	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSFHEP00000015568	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSMMOP00000002589	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSSMAP00000011227	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSSDUP00000014209	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSSLDP00000004482	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSSFOP00015024905	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
ENSOANP00000016996	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
ENSMEUP00000003611	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
ENSSHAP00000014415	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
ENSMODP00000000684	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
ENSEEUP00000012466	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0
ENSOCUP00000005644	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSACAP00000014201	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
ENSTGUP00000016016	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0
ENSFALP00000001087	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSTGUP00000007463	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
ENSAPLP00000003795	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
ENSGALP00000055351	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
ENSMGAP00000003415	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
ENSLOCP00000015810	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSELUP00000027866	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSXETP00000000565	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
ENSPKIP00000018859	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
ENSGAFP00000026044	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
OSAT_MAD	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0
PBLA_MAD	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
PPAT_MAD	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0
MCIR_MAD	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
MLAR_MAD	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0
NGRU_MAD	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0
XTRO_MAD	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0
SPOM_MAD	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
SBAT_MAD	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
RMIC_MAD	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
SMOE_MAD	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0
PSTI_MAD	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0
GLUX_MAD	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0
ABIS_MAD	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0
ATRI_MAD	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0
SCER_MAD	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0
ATHA_MAD	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0
CGLA_MAD	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
CELE_MAD	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
BMAL_MAD	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
ACOE_MAD	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0
ACEY_MAD	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
AANO_MAD	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
ALAI_MAD	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0
AGAM_MAD	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1
ESIL_MAD	1	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0
DRER_MAD_A	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
CMIL_MAD	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
DMEL_MAD	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1
ENSCHIP00000015401	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
ENSBTAP00000009521	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
ENSOARP00000021614	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
ENSMOCP00000006083	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
ENSPSIP00000011035	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
ENSCCAP00000017737	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0
ENSCSEP00000000238	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSATEP00000006822	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0
ENSAMXP00000012881	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0
ENSANAP00000025505	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0
ENSPPRP00000017736	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0
ENSOPRP00000006285	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0
ENSDARP00000101544	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0
ENSDORP00000007039	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0
ENSPMEP00000000975	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSPLAP00000028878	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSAPOP00000019918	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSSDUP00000022156	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSSLDP00000015287	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSSPAP00000019246	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSXMAP00000029398	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSAOCP00000020212	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSAPEP00000025755	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSGAFP00000014367	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSMAMP00000003395	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSORLP00000019745	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSPNAP00000032711	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
ENSIPUP00000033966	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
ENSAMXP00000012570	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
ENSGACP00000008455	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
ENSGMOP00000012394	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
ENSEBUP00000020231	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSELUP00000016758	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRP00000008513	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSOCUP00000022905	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSOMEP00000029947	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
