Sequence	ABBA_1	ABBA_2	KEN_1	KEN_2	GLEBS_1	D-Box_1	TPR_1	CDII_1	KARD_1	(Pseudo)kinase_1	PLKBD_1	ABBA_3	D-Box_2	ABBA_4	CMI_1
ENSNSUP00000010043	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSEGOP00005022294	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSNMEP00000004550	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
ENSPVIP00000019791	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSLOCP00000015810	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0
ENSSTUP00000040857	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSCHOP00000004834	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0
ENSPVAP00000016105	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSCWAP00000020963	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSMPUP00000008317	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSNVIP00000020897	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSSSUP00005010304	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCAFP00000013122	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSSSCP00000022619	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCAFP00030039475	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCAFP00040041390	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSVVUP00000036957	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSPCTP00005028421	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0
ENSTGEP00000000333	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0
ENSETEP00000011672	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0
ENSSARP00000009347	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
ENSEASP00005024508	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSUAMP00000004606	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSPSMP00000012885	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCJAP00000038885	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSPANP00000016321	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSPCOP00000020781	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSMFAP00000017978	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSMLEP00000002148	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSP00000287598	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSPPYP00000007185	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSPTEP00000027165	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSRBIP00000038600	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSSBOP00000009355	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCSAP00000003620	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSTTRP00000000034	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSVPAP00000009570	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCDRP00005001351	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSNLEP00000003290	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSMNEP00000000688	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0
ENSPPAP00000043094	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSMLUP00000007466	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSLAFP00000009774	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSRFEP00010005264	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSECAP00000019324	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSMMUP00000047150	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSAMEP00000018192	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSGGOP00000002254	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSPTRP00000077805	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCATP00000009004	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0
ENSRROP00000025592	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSFCAP00000057394	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
ENSOGAP00000007570	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0
ENSTSYP00000010994	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSPTIP00000004315	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSLCNP00005007829	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSMMSP00000006192	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSENLP00000023733	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSELUP00000027866	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSPKIP00000018859	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSCHIP00000015401	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSOARP00000021614	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSBBBP00000006636	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSBMUP00000000747	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSBIXP00005045573	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSBTAP00000009521	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSBIXP00000037784	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCANP00000008967	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCMIP00000043742	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0
ENSPSIP00000011035	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSCJPP00005016465	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0
ENSCCAP00000017737	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0
ENSGAFP00000026044	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSAMXP00000012881	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0
ENSCSEP00000000238	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSATEP00000006822	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSCMIP00000043738	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1
ENSDARP00000101544	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0
ENSPPRP00000017736	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0
ENSANAP00000025505	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0
ENSSGRP00000007585	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0
ENSSANP00000036966	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0
ENSSRHP00000091600	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0
ENSCCRP00010066098	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0
ENSSANP00000099798	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0
ENSSGRP00000013164	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0
ENSCCRP00015007023	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0
ENSCCRP00020050600	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0
ENSCCRP00020084993	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0
ENSCCRP00015017284	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0
ENSEEEP00000018609	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0
ENSJHYP00000008962	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
ENSPMEP00000000975	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSPLAP00000028878	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSAPOP00000019918	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
ENSSDUP00000022156	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ENSSLDP00000015287	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSECRP00000025931	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0
ENSXMAP00000029398	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ENSAOCP00000020212	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ENSAPEP00000025755	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ENSSPAP00000019246	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSGAFP00000014367	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ENSORLP00000019745	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ENSHHUP00000053871	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
ENSENLP00000052699	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ENSSORP00005050310	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSIPUP00000033966	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0
ENSSTUP00000059318	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0
ENSPNAP00000032711	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0
ENSMAMP00000003395	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSAMXP00005001163	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
ENSDCDP00000028465	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0
ENSAMXP00000012570	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0
ENSCCRP00010096505	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSVKKP00000017470	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSGACP00000008455	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
ENSZALP00000009533	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGMOP00000012394	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
ENSSSAP00000047040	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0
ENSEBUP00000020231	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSELUP00000016758	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSUMAP00000017614	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSCCNP00000030049	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSLSDP00000005652	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSLCOP00000001351	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSPSTP00000011923	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSCAFP00020007350	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSVKKP00000017464	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSCCEP00000017684	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSPTXP00000000374	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSSRHP00000100470	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0
ENSOMEP00000029947	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSPCTP00005008032	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
