Sequence	ABBA_3	CDII_1	CDII_2	TPR_1	kinase_1	GLEBS_1	CMI_1	KARD_1	PLKBD_1	ABBA_4
ENSONIP00000073314	1	1	1	1	1	1	1	1	0	0
ENSSDUP00000014749	1	1	0	1	0	1	1	1	0	0
ENSHHUP00000071008	1	1	1	1	1	1	1	1	0	0
ENSPKIP00000026704	1	1	1	1	1	1	1	0	0	0
ENSFHEP00000028205	1	1	1	1	1	1	1	0	0	0
ENSLCAP00010039465	1	1	1	1	1	1	1	1	0	0
ENSMALP00000017883	1	1	1	0	1	0	1	1	0	0
ENSCVAP00000023574	1	1	1	0	1	0	0	1	0	0
ENSSSAP00000113710	1	1	1	1	1	1	1	1	0	0
ENSSTUP00000103904	1	1	1	1	1	1	1	1	0	0
ENSMMDP00005024340	1	1	1	1	1	1	1	1	0	0
ENSHHUP00000042374	1	1	1	1	1	1	1	1	0	0
ENSORLP00000033248	1	1	1	1	1	1	1	1	0	0
ENSORLP00015032245	1	1	1	1	1	1	1	1	0	0
ENSORLP00020001297	1	1	1	1	1	1	1	1	0	0
ENSSFOP00015030280	1	1	1	1	1	1	1	0	1	0
ENSCMIP00000034926	1	1	1	1	1	1	1	0	1	0
ENSPVIP00000017644	1	1	1	1	1	1	1	0	1	0
ENSACAP00000012897	1	1	1	1	1	1	1	0	1	0
ENSSHBP00005004514	1	1	1	1	1	1	1	1	1	0
ENSACCP00020008478	1	1	1	1	1	1	1	1	1	0
ENSANIP00000013839	1	1	1	1	1	1	1	1	1	0
ENSACOP00000022272	1	1	1	1	1	1	1	1	1	0
ENSARWP00000016314	1	1	1	1	1	1	1	1	1	0
ENSAOWP00000024078	1	1	1	1	1	1	1	1	1	0
ENSAHAP00000022510	1	1	1	1	1	1	1	1	1	0
ENSSCUP00000022546	1	1	1	1	1	1	1	1	1	0
ENSMVIP00005014880	1	1	1	1	1	1	1	0	1	0
ENSDNVP00000002095	1	1	1	1	1	1	1	1	1	0
ENSSMRP00000019205	1	1	1	1	1	1	1	0	1	0
ENSCPGP00000014681	1	1	1	1	1	1	1	1	1	0
ENSCPUP00000007201	1	1	1	1	1	1	1	1	1	0
ENSACDP00005024784	1	1	1	1	1	1	1	1	1	0
ENSABRP00000013128	1	1	1	1	1	1	1	1	1	0
ENSAPLP00000011725	1	1	1	1	1	1	1	1	1	0
ENSNPEP00000000079	1	1	1	1	1	1	1	1	1	0
ENSFALP00000011989	1	1	1	1	1	1	1	0	1	0
ENSEGOP00005004079	1	1	1	1	1	1	1	1	1	0
ENSPMJP00000018478	1	1	1	1	1	1	1	1	1	0
ENSCCEP00000009769	1	1	1	1	1	1	1	1	1	0
ENSSCAP00000020158	1	1	1	1	1	1	1	1	1	0
ENSJHYP00000010551	1	1	1	1	1	1	1	1	1	0
ENSTGUP00000007573	1	1	1	1	1	1	1	1	1	0
ENSCPRP00005017280	1	1	1	1	1	1	1	0	1	0
ENSCJPP00005019558	1	1	1	1	1	1	1	1	1	0
ENSPSTP00000000883	1	1	1	1	1	1	1	1	1	0
ENSPCLP00000015259	1	1	1	1	1	1	1	1	1	0
ENSGALP00000013385	1	1	1	1	1	1	1	1	1	0
ENSCPIP00010000660	1	1	1	1	1	1	1	1	1	0
ENSMGAP00000002484	1	1	1	1	1	1	1	1	1	0
ENSLOCP00000020635	1	1	1	1	1	1	1	0	1	0
ENSEASP00005007313	1	1	1	1	1	1	0	1	1	0
ENSCCRP00010099823	1	1	1	1	1	1	1	1	0	0
ENSCCRP00020050342	1	1	1	1	1	1	0	1	0	0
ENSDARP00000117438	1	1	1	1	1	1	1	1	0	0
ENSSRHP00000063746	1	1	1	1	1	1	1	1	0	0
ENSSDAP00000012078	0	1	1	0	1	0	0	0	0	0
ENSDORP00000013735	0	1	1	1	1	1	1	1	0	0
ENSNMEP00000013176	0	1	1	1	1	1	1	1	1	0
ENSCABP00000029353	0	1	1	0	1	0	0	0	0	0
ENSSTUP00000102544	0	1	1	0	0	0	0	0	0	0
ENSACUP00000012858	0	1	1	0	1	0	0	0	0	0
ENSACIP00000011340	0	1	1	0	0	0	0	0	0	0
ENSSTUP00000054069	0	1	1	0	1	0	0	0	0	0
ENSAPOP00000014805	0	1	1	0	0	0	0	0	0	0
ENSACLP00000018094	0	1	1	0	0	0	0	0	0	0
ENSNBRP00000007999	0	1	1	0	0	0	0	0	0	0
ENSPNYP00000004250	0	1	1	0	0	0	0	0	0	0
ENSCPBP00000015375	0	1	1	1	1	1	1	1	1	0
ENSAPEP00000029759	0	1	1	0	0	0	0	0	0	0
ENSMUNP00000004327	0	1	1	1	1	1	1	0	1	0
ENSOMEP00000016528	0	1	1	1	1	1	1	1	0	0
ENSSAUP00010006466	0	1	1	1	1	1	1	1	0	0
ENSSLDP00000028263	0	1	1	1	1	1	1	1	0	0
ENSSPUP00000014793	0	1	1	1	1	1	1	0	1	0
ENSGWIP00000005232	0	1	1	0	0	0	0	0	0	0
ENSMMOP00000023231	0	1	1	0	0	0	0	0	0	0
ENSSORP00005003452	0	1	1	0	0	0	0	0	0	0
ENSGWIP00000011124	0	1	1	0	1	0	0	0	0	0
ENSGAFP00000020884	0	1	1	0	0	0	0	0	0	0
ENSLSDP00000019602	0	1	1	1	1	1	0	0	1	0
ENSIPUP00000023163	0	1	1	0	0	0	0	0	0	0
ENSXMAP00000040519	0	1	1	0	0	0	0	0	0	0
ENSSFAP00005017548	0	1	1	0	0	0	0	0	0	0
ENSKMAP00000028356	0	1	1	1	1	1	1	1	0	0
ENSVKKP00000021377	0	1	1	0	1	0	0	0	0	0
ENSPLAP00000022418	0	1	1	0	0	0	0	0	0	0
ENSPREP00000021030	0	1	1	0	0	0	0	0	0	0
ENSXCOP00000000744	0	1	1	0	0	0	0	0	0	0
ENSZALP00000010814	0	1	1	1	1	1	0	0	1	0
ENSPMEP00000021364	0	1	1	0	0	0	0	0	0	0
ENSCVAP00000026766	0	1	1	0	1	0	0	0	0	0
ENSELUP00000037077	0	1	1	1	1	1	1	1	0	0
ENSPMGP00000025967	0	1	1	0	0	0	0	0	0	0
ENSLACP00000021843	0	1	1	1	1	1	1	0	0	0
ENSPMRP00000035074	0	1	1	1	1	1	1	0	1	0
ENSSANP00000082482	0	1	1	0	1	0	0	1	0	0
ENSSGRP00000046660	0	1	1	0	1	0	0	1	0	0
ENSHCOP00000006919	0	1	1	0	1	0	0	0	0	0
ENSTNIP00000005386	0	1	1	1	1	1	1	0	0	0
ENSCCRP00015082246	0	1	1	0	1	0	0	0	0	0
ENSCSEP00000009220	0	1	1	0	0	0	0	0	0	0
ENSECRP00000023327	0	1	1	1	1	1	1	1	1	0
ENSAMXP00005036906	0	1	1	1	1	1	1	1	0	0
ENSAMXP00000014357	0	1	1	1	1	1	1	1	0	0
ENSPNAP00000037042	0	1	1	0	0	0	0	0	0	0
ENSEEEP00000051405	0	1	1	1	1	1	0	1	0	0
ENSDCDP00000020405	0	1	1	0	0	0	0	0	0	0
ENSPMAP00000010071	0	1	1	1	1	1	0	0	1	0
ENSCHOP00000011010	0	1	0	1	1	1	0	1	1	0
ENSCCNP00000005031	0	0	0	1	0	0	0	0	0	0
ENSSDAP00000012090	0	0	0	1	0	0	0	0	0	0
ENSAPOP00000014789	0	0	0	1	0	0	0	0	0	0
ENSPTXP00000005490	0	0	0	1	0	0	0	0	0	0
ENSMAMP00000006426	0	0	0	1	0	0	0	0	0	0
ENSPREP00000021048	0	0	0	1	0	0	0	0	0	0
ENSNSUP00000022027	0	0	0	1	0	0	0	0	0	0
ENSCCNP00000002440	0	0	0	0	1	0	0	0	0	0
ENSTMTP00000004734	0	0	0	0	1	0	0	0	0	0
ENSLCOP00000014119	0	0	0	0	1	0	0	0	0	0
ENSPTXP00000005491	0	0	0	0	1	0	0	0	0	0
ENSNSUP00000022029	0	0	0	0	1	0	0	0	0	0
ENSSDUP00000014731	0	0	0	0	1	0	0	0	0	0
ENSGMOP00000016926	0	0	0	0	1	0	0	0	0	0
ENSGACP00000017945	0	0	0	0	1	0	0	0	0	0
ENSLBEP00000004905	0	0	0	0	1	0	0	0	0	0
ENSEBUP00000007820	0	0	0	0	1	0	0	0	0	0
ENSBMUP00000008675	0	0	0	0	1	0	0	0	0	0
