Sequence	ABBA2	ABBA_other	CDII	TPR	kinase	GLEBS	CMI	Dbox	KARD	MadaM
ENSGAFP00000020884	0	0	1	0	1	0	0	0	0	0
ENSXMAP00000040519	0	0	1	0	1	0	0	0	0	0
ENSGACP00000017942	0	0	1	0	1	0	0	0	1	0
ENSXCOP00000000744	0	0	1	0	1	0	0	0	0	0
ENSPLAP00000022418	0	0	1	0	1	0	0	0	0	0
ENSPREP00000021030	0	0	1	0	1	0	0	0	0	0
ENSPMGP00000025967	0	0	1	0	1	0	0	0	0	0
ENSCVAP00000026766	0	0	1	0	1	0	0	0	0	0
ENSPMEP00000021364	0	0	1	0	1	0	0	0	0	0
ENSKMAP00000028356	0	0	1	1	1	1	1	0	1	0
ENSIPUP00000023163	0	0	1	0	1	0	0	0	0	0
ENSELUP00000037077	0	0	1	1	1	1	1	0	1	0
ENSLACP00000021843	0	0	1	1	1	1	1	0	1	0
ENSCSEP00000009220	0	0	1	0	1	0	0	0	1	0
ENSHCOP00000006919	0	0	1	0	1	0	0	0	0	0
ENSTNIP00000005386	0	0	1	1	1	1	1	0	0	0
ENSGMOP00000016912	0	0	1	0	1	0	0	0	0	0
ENSPNAP00000037042	0	0	1	0	1	0	0	0	0	0
ENSPMAP00000010071	0	0	1	1	1	1	0	0	0	0
ENSAMXP00000014357	0	0	1	1	1	1	1	0	1	0
ENSCHOP00000011010	0	0	1	1	1	1	0	0	1	0
ENSLBEP00000004905	0	0	1	0	1	0	0	0	0	0
ENSGACP00000017945	0	0	1	0	1	0	0	0	0	0
ENSGMOP00000016926	0	0	1	0	1	0	0	0	0	0
ENSEBUP00000007820	0	0	1	0	1	0	0	0	0	0
AGAM_BUB	0	0	1	1	1	1	0	0	0	0
DMEL_BUB	0	0	1	1	1	1	0	0	0	0
ALAI_BUB	0	0	1	1	1	1	0	0	0	0
RMIC_BUB	0	0	1	1	1	1	0	0	0	0
ATRI_BUB_A	0	0	1	1	1	0	0	0	0	0
ACOE_BUB_A	0	0	1	1	1	0	0	0	0	0
OSAT_BUB_A	0	0	1	1	1	0	0	0	0	0
ATHA_BUB_A	0	0	1	1	1	0	0	0	0	0
ESIL_BUB	0	0	1	1	1	0	0	0	0	0
MCIR_BUB	0	0	1	1	1	1	0	0	0	0
ENSAPOP00000014789	0	0	0	1	0	0	0	0	0	0
ENSMAMP00000006426	0	0	0	1	0	0	0	0	0	0
ENSPREP00000021048	0	0	0	1	0	0	0	0	0	0
ENSSDUP00000014731	0	0	0	0	1	0	0	0	0	0
PBLA_BUB	0	0	0	1	1	1	0	0	0	0
